brand,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty,total_storage_capacity,total_pixels,ppi
acer,71990,70,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,63990,65,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
walker,15990,37,intel,celeron,2,2,4,SSD,128,No secondary storage,0,intel,integrated,False,14.1,1920,1080,windows,1.0,128,2073600,156.23455106966654
hp,23999,52,amd,ryzen 3,2,4,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1366,768,dos,1.0,512,1049088,100.45466986113651
dell,65500,60,intel,core i5,10,12,8,SSD,1024,No secondary storage,0,intel,integrated,False,14.0,1920,1200,windows,1.0,1024,2304000,161.72539083525606
dell,73990,63,intel,core i5,10,12,16,SSD,1024,No secondary storage,0,intel,integrated,False,14.0,1920,1200,windows,1.0,1024,2304000,161.72539083525606
hp,97999,73,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.1,2560,1440,windows,1.0,512,3686400,182.43537640433112
lenovo,52990,62,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,2.0,512,2073600,157.3505121487356
lenovo,62990,65,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
msi,73990,65,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,2.0,512,2073600,141.21199808219862
lenovo,32899,59,amd,ryzen 3,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,dos,1.0,512,2073600,141.21199808219862
lenovo,24990,50,intel,celeron,2,2,8,SSD,256,No secondary storage,0,intel,integrated,False,14.0,1366,768,windows,1.0,256,1049088,111.93520355955211
msi,47990,67,intel,core i5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,2.0,512,2073600,141.21199808219862
asus,73990,60,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,99990,75,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1.0,512,2304000,141.50971698084905
lenovo,52990,70,intel,core i5,4,8,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,61990,64,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
lenovo,69345,62,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,integrated,False,14.0,1920,1200,windows,1.0,512,2304000,161.72539083525606
lenovo,44990,58,intel,core i3,5,6,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,96590,66,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,True,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,87990,66,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,True,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,86690,66,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,True,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,87690,70,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,amd,integrated,True,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,78890,66,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,True,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,83990,72,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,True,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,38990,57,amd,ryzen 3,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,14.0,1920,1080,windows,1.0,512,2073600,157.3505121487356
hp,50990,60,amd,ryzen 5,4,8,16,SSD,512,No secondary storage,0,amd,integrated,False,14.0,1920,1080,windows,1.0,512,2073600,157.3505121487356
asus,55990,60,intel,core i5,12,16,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
dell,39290,60,intel,core i3,2,4,8,HDD,1024,SSD,256,intel,integrated,False,15.6,1920,1080,windows,,1280,2073600,141.21199808219862
hp,107763,71,intel,core i7,14,20,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,2880,1800,windows,1.0,512,5184000,242.5880862528841
dell,59990,56,intel,core i3,6,8,8,SSD,1024,No secondary storage,0,intel,integrated,True,14.0,1920,1200,windows,1.0,1024,2304000,161.72539083525606
lenovo,72990,69,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
lenovo,56700,64,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,False,14.0,1920,1080,windows,1.0,512,2073600,157.3505121487356
lenovo,65990,67,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
lenovo,53990,66,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,78019,69,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,2240,1400,windows,1.0,512,3136000,188.67962264113206
acer,30790,59,intel,core i3,2,4,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
lenovo,57390,67,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,115706,71,amd,ryzen 5,6,12,16,HDD,1024,SSD,512,nvidia,dedicated,False,15.6,1920,1080,windows,,1536,2073600,141.21199808219862
dell,41808,53,amd,ryzen 5,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,109990,69,intel,core i7,10,12,16,SSD,512,No secondary storage,0,intel,integrated,True,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,44990,58,amd,ryzen 5,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,14.0,1920,1080,windows,1.0,512,2073600,157.3505121487356
hp,47990,53,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0,512,2073600,157.3505121487356
hp,52990,60,amd,ryzen 5,4,8,16,SSD,512,No secondary storage,0,amd,integrated,False,14.0,1920,1080,windows,1.0,512,2073600,157.3505121487356
hp,115990,70,intel,core i7,10,12,16,SSD,1024,No secondary storage,0,intel,integrated,True,15.6,1920,1080,windows,1.0,1024,2073600,141.21199808219862
asus,83599,72,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1.0,512,2304000,141.50971698084905
asus,139990,83,amd,ryzen 9,8,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,14.0,2560,1600,windows,1.0,1024,4096000,215.6338544470081
dell,87990,56,intel,core i7,10,12,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0,512,2073600,157.3505121487356
asus,58990,71,intel,core i5,6,12,8,SSD,1024,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,1024,2073600,141.21199808219862
lenovo,49990,64,amd,ryzen 7,8,16,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,dos,1.0,512,2073600,141.21199808219862
lenovo,60490,67,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
lenovo,35490,59,intel,core i3,2,4,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
lenovo,71990,70,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
dell,90490,67,intel,core i7,10,12,16,SSD,512,No secondary storage,0,intel,integrated,True,14.0,1920,1200,windows,1.0,512,2304000,161.72539083525606
hp,44990,58,amd,ryzen 5,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,14.0,1920,1080,windows,1.0,512,2073600,157.3505121487356
msi,111990,78,intel,core i7,10,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,2.0,512,2073600,141.21199808219862
lenovo,45500,57,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,dos,1.0,512,2073600,157.3505121487356
dell,40990,58,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,16.0,1920,1080,windows,1.0,512,2073600,137.68169813014364
dell,43690,52,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
lenovo,49999,62,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0,512,2073600,157.3505121487356
lenovo,66199,62,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,dos,1.0,512,2073600,157.3505121487356
acer,29980,50,intel,core i3,8,8,8,SSD,256,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,256,2073600,141.21199808219862
dell,55990,60,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,integrated,False,16.0,1920,1200,windows,1.0,512,2304000,141.50971698084905
acer,29490,57,amd,ryzen 3,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
lenovo,33490,57,amd,ryzen 3,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,53699,62,intel,core i5,4,8,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0,512,2073600,157.3505121487356
acer,42990,50,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
msi,57990,67,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,2.0,512,2073600,141.21199808219862
msi,54990,65,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,2.0,512,2073600,141.21199808219862
dell,47990,60,intel,core i5,4,8,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1366,768,ubuntu,1.0,512,1049088,111.93520355955211
msi,104990,78,amd,ryzen 7,8,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,1024,2073600,141.21199808219862
