brand,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty
infinix,25990,57,intel,core i3,2,4,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0
acer,31990,57,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
dell,57300,62,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
acer,29990,59,intel,core i3,2,4,8,SSD,256,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0
hp,49990,65,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,dedicated,False,15.6,1920,1080,windows,1.0
asus,56500,64,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
asus,56990,58,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0
acer,60990,70,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
acer,56990,67,intel,core i5,10,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,14.0,1920,1080,windows,1.0
asus,119990,80,amd,ryzen 9,8,16,16,SSD,1024,No secondary storage,0,amd,dedicated,False,15.6,1920,1200,windows,1.0
asus,179990,77,intel,core i9,24,32,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,2560,1600,windows,1.0
asus,189990,79,intel,core i9,24,32,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,2560,1600,windows,1.0
asus,121489,78,intel,core i7,14,20,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1.0
asus,47830,64,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
hp,52490,65,intel,core i5,4,8,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
msi,67990,73,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,2.0
hp,40190,59,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
hp,61990,57,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
asus,89990,67,intel,core i5,12,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1.0
asus,55689,64,intel,core i5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,17.3,1920,1080,windows,1.0
hp,89490,69,intel,core i7,12,16,16,SSD,1024,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
acer,119990,75,intel,core i7,16,24,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1.0
msi,65490,69,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,2.0
hp,34990,54,amd,ryzen 3,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0
asus,69990,70,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,amd,integrated,True,14.0,1920,1200,windows,1.0
asus,78990,65,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,2880,1620,windows,1.0
asus,105739,71,intel,core i9,14,20,16,SSD,1024,No secondary storage,0,intel,integrated,False,15.6,2880,1620,windows,1.0
asus,42990,59,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
honor,54990,66,intel,core i5,8,12,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1200,windows,1.0
lenovo,21990,53,amd,other,2,2,8,SSD,256,No secondary storage,0,amd,integrated,False,14.0,1920,1080,windows,1.0
lenovo,33400,53,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
hp,50990,67,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,dedicated,False,15.6,1920,1080,windows,1.0
dell,50990,68,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,False,14.0,1920,1080,windows,1.0
msi,43990,62,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,False,14.0,1920,1080,windows,1.0
acer,27990,49,intel,core i3,8,8,8,SSD,256,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
msi,105990,79,intel,core i7,10,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,2.0
hp,46990,68,amd,ryzen 7,8,16,8,SSD,512,No secondary storage,0,amd,integrated,False,14.0,1920,1080,windows,1.0
acer,46990,67,intel,core i5,10,12,12,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
asus,53990,65,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0
asus,48579,60,amd,ryzen 5,4,8,16,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0
asus,70990,65,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,amd,integrated,False,16.0,1920,1200,windows,1.0
samsung,69990,56,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
samsung,75990,60,intel,core i7,10,12,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
infinix,24990,52,intel,core i3,2,4,8,SSD,256,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
hp,70990,69,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
asus,30890,50,intel,core i3,2,4,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
hp,51990,67,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,dedicated,False,15.6,1920,1080,windows,1.0
hp,57990,73,intel,core i5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.1,1920,1080,windows,1.0
hp,48450,62,intel,core i5,4,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
hp,79990,71,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,True,13.4,1920,1200,windows,1.0
hp,63990,64,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0
hp,19299,39,amd,other,2,2,4,SSD,256,No secondary storage,0,amd,integrated,False,15.6,1920,1080,dos,1.0
dell,69999,62,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0
asus,62600,73,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,True,14.0,1920,1080,windows,1.0
lenovo,99990,78,amd,ryzen 7,8,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,2560,1600,windows,1.0
msi,83990,78,intel,core i7,14,20,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.0,2560,1660,windows,2.0
hp,59871,71,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
hp,56999,54,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
asus,144990,85,amd,ryzen 9,8,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,15.6,2560,1440,windows,1.0
hp,40609,58,intel,core i3,2,4,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
lenovo,64990,74,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
apple,132990,45,apple,m2,8,8,8,SSD,512,No secondary storage,0,apple,apple,False,13.6,2560,1664,mac,1.0
apple,136990,45,apple,m2,8,8,8,SSD,512,No secondary storage,0,apple,apple,False,13.3,2560,1600,mac,1.0
samsung,54990,59,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,
lenovo,24990,49,intel,celeron,4,2,4,HDD,128,SSD,128,intel,integrated,True,10.1,1200,800,windows,
hp,63990,62,intel,core i5,12,16,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
hp,24990,52,amd,other,2,2,8,HDD,1024,No secondary storage,0,amd,integrated,False,14.0,1366,768,windows,1.0
samsung,116990,68,intel,core i7,8,16,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1080,1920,windows,1.0
hp,41750,64,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,integrated,False,14.0,1920,1080,windows,1.0
realme,36990,52,intel,core i3,2,4,8,SSD,256,No secondary storage,0,intel,integrated,False,14.0,1440,2160,windows,1.0
dell,52199,56,intel,core i5,4,8,8,HDD,1024,SSD,256,intel,integrated,False,15.6,1920,1080,windows,
avita,21390,56,amd,ryzen 5,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,14.0,1920,1080,windows,1.0
hp,90464,56,intel,core i5,4,8,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,3.0
dell,87990,67,intel,core i7,4,8,8,SSD,256,No secondary storage,0,nvidia,dedicated,False,13.3,1920,1080,windows,1.0
chuwi,21990,50,intel,other,4,4,8,SSD,256,No secondary storage,0,intel,integrated,False,14.1,1920,1080,windows,1.0
chuwi,34990,54,intel,core i5,4,8,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,2160,1440,windows,1.0
avita,32949,50,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,integrated,False,14.0,1920,1080,windows,1.0
lenovo,150000,64,intel,core i5,5,5,8,SSD,1024,No secondary storage,0,intel,integrated,True,13.3,2048,1536,windows,1.0
dell,208490,80,intel,core i9,24,32,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,2560,1600,windows,1.0
hp,79467,64,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,integrated,True,15.6,1920,1080,windows,1.0
lenovo,56990,57,intel,core i5,8,12,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
lenovo,54990,58,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,True,14.0,1920,1200,windows,1.0
hp,57500,51,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,dos,1.0
hp,54599,58,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1366,768,dos,1.0
lenovo,62999,62,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,dos,1.0
lenovo,36490,50,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0
lenovo,45990,58,intel,core i5,4,8,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1366,768,dos,1.0
lenovo,46990,62,intel,core i5,4,8,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0
msi,66350,69,intel,core i7,8,16,16,HDD,1024,SSD,256,nvidia,dedicated,False,15.6,1920,1080,windows,
lenovo,62990,66,intel,core i7,10,12,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
dell,36731,53,amd,ryzen 3,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0
hp,51901,62,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0
dell,59890,58,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,True,14.0,1920,1200,windows,1.0
lenovo,73990,57,intel,core i5,8,12,16,SSD,1024,No secondary storage,0,intel,integrated,False,14.0,1920,1200,windows,1.0
lenovo,61990,60,intel,core i5,8,12,16,SSD,1024,No secondary storage,0,intel,integrated,False,14.0,1920,1200,windows,1.0
hp,67288,52,intel,core i7,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,dos,1.0
dell,34990,49,intel,core i3,2,4,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
lenovo,74900,63,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,dos,
dell,152000,59,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,True,14.0,1920,1200,windows,
lenovo,31990,51,intel,core i3,2,4,8,SSD,256,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
acer,29990,47,intel,core i3,8,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
acer,46500,64,intel,core i5,4,8,16,SSD,1024,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
lenovo,218990,64,intel,core i7,10,12,16,SSD,1024,No secondary storage,0,intel,integrated,False,14.0,1920,1200,windows,1.0
avita,32550,51,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
acer,49990,64,intel,core i7,4,8,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0
acer,44999,64,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
acer,42999,62,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
avita,19421,41,intel,celeron,2,2,8,SSD,256,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0
apple,189900,53,apple,m3,8,8,8,SSD,1024,No secondary storage,0,apple,apple,False,14.2,3024,1964,mac,1.0
apple,239900,58,apple,m3,12,12,8,SSD,1024,No secondary storage,0,apple,apple,False,14.2,3024,1964,mac,1.0
lenovo,123190,67,intel,core i7,12,16,16,SSD,1024,No secondary storage,0,intel,integrated,True,13.3,2560,1600,windows,1.0
asus,32825,37,intel,celeron,2,2,8,HDD,128,No secondary storage,0,intel,integrated,False,15.6,1920,1080,chrome,1.0
lenovo,68990,66,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
acer,46990,63,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
lenovo,107911,75,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
lenovo,51894,65,amd,ryzen 5,4,8,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
asus,30199,44,intel,celeron,2,2,8,HDD,128,No secondary storage,0,intel,integrated,True,14.0,1920,1080,chrome,1.0
avita,20999,43,intel,celeron,2,2,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
apple,169900,51,apple,m3,8,8,8,SSD,512,No secondary storage,0,apple,apple,False,14.2,3024,1964,mac,1.0
hp,155299,70,intel,core i7,10,12,16,SSD,512,No secondary storage,0,intel,integrated,True,13.5,3000,2000,windows,1.0
hp,111943,78,amd,ryzen 7,8,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.1,1920,1080,windows,1.0
hp,76599,69,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1366,768,windows,1.0
hp,40990,57,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
acer,46490,63,intel,core i5,4,8,8,SSD,1024,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
lenovo,46990,57,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,dos,3.0
hp,99470,77,intel,core i7,10,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
lenovo,359095,86,intel,core i9,24,32,32,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,2560,1600,windows,1.0
microsoft,79990,58,intel,core i5,10,12,8,SSD,256,No secondary storage,0,intel,integrated,True,12.4,1536,1024,windows,1.0
acer,56990,56,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1200,windows,1.0
acer,39800,62,amd,ryzen 5,6,12,16,SSD,1024,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0
dell,88990,64,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,True,14.0,1920,1200,windows,1.0
lenovo,55190,70,intel,core i5,4,8,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
hp,112990,76,amd,ryzen 7,8,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.1,1920,1080,windows,1.0
asus,86500,67,amd,ryzen 7,8,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
msi,199990,80,intel,core i7,16,24,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,2560,1600,windows,1.0
dell,105490,75,intel,core i7,14,20,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
lenovo,61990,69,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,True,14.0,1920,1200,windows,1.0
asus,47550,58,amd,ryzen 5,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,14.0,1920,1080,windows,1.0
asus,64990,65,amd,ryzen 5,6,12,16,SSD,1024,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
lenovo,49499,54,intel,core i3,2,4,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,dos,3.0
lenovo,36990,53,amd,ryzen 5,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0
hp,90999,72,intel,core i5,12,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.1,1920,1080,windows,1.0
lenovo,34590,57,intel,core i3,6,8,8,SSD,256,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
lenovo,32490,56,amd,ryzen 3,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0
asus,99111,69,intel,core i5,12,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1.0
lenovo,55700,69,intel,core i5,4,8,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
hp,35900,60,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1366,768,windows,1.0
lenovo,70190,67,amd,ryzen 7,8,16,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
lenovo,92190,75,intel,core i5,12,16,16,SSD,1024,No secondary storage,0,intel,integrated,True,14.0,2880,1800,windows,1.0
asus,27990,45,intel,celeron,2,2,8,SSD,256,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0
asus,79970,63,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
acer,23990,38,intel,celeron,2,2,8,SSD,64,No secondary storage,0,intel,integrated,False,14.0,1080,1920,chrome,1.0
dell,51487,58,intel,core i3,2,4,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
lenovo,51990,63,amd,ryzen 5,4,8,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
dell,56990,57,intel,core i3,6,8,8,SSD,256,No secondary storage,0,intel,integrated,True,14.0,1920,1200,windows,1.0
hp,342500,88,intel,core i9,24,32,32,SSD,1024,No secondary storage,0,nvidia,dedicated,False,17.3,2560,1440,windows,1.0
zebronics,39990,66,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
zebronics,32990,60,intel,core i5,4,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
primebook,12990,31,other,other,8,0,4,HDD,64,No secondary storage,0,arm,integrated,False,11.6,1366,768,other,1.0
acer,63999,65,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
acer,65990,62,intel,core i5,8,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
ultimus,16490,47,intel,celeron,2,2,8,SSD,256,No secondary storage,0,intel,integrated,False,14.1,1366,768,windows,1.0
hp,53190,62,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
zebronics,50990,72,intel,core i7,10,12,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
hp,92590,70,amd,ryzen 7,8,16,16,SSD,1024,No secondary storage,0,amd,integrated,False,14.0,2880,1800,windows,1.0
hp,259499,85,intel,core i7,16,24,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,17.3,2560,1440,windows,1.0
hp,292999,88,intel,core i9,24,32,32,SSD,2048,No secondary storage,0,nvidia,dedicated,False,16.1,2560,1600,windows,1.0
hp,165999,79,intel,core i7,16,24,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,17.3,1920,1080,windows,1.0
hp,168500,78,intel,core i7,16,24,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.1,2560,1600,windows,1.0
asus,85990,70,intel,core i5,12,16,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,17.3,1920,1080,windows,1.0
lenovo,84990,58,intel,core i5,12,16,16,SSD,1024,No secondary storage,0,intel,integrated,False,14.0,1920,1200,windows,1.0
lenovo,80190,57,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1200,windows,1.0
lenovo,109190,63,intel,core i7,14,20,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,2560,1600,windows,3.0
lenovo,54190,65,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
lenovo,54190,69,intel,core i5,4,8,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
asus,14990,38,intel,celeron,2,2,4,HDD,32,No secondary storage,0,intel,integrated,False,11.6,1366,768,chrome,1.0
asus,66718,66,intel,core i5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,17.3,1920,1080,windows,1.0
asus,53990,51,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
asus,20990,38,intel,celeron,2,2,8,SSD,128,No secondary storage,0,intel,integrated,False,14.0,1920,1080,chrome,1.0
lenovo,78190,64,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,True,14.0,1920,1200,windows,1.0
lenovo,39990,56,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0
dell,61990,53,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0
hp,38990,57,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
lenovo,93190,58,intel,core i7,14,20,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1200,windows,1.0
lenovo,164190,84,amd,ryzen 7,8,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,2560,1600,windows,1.0
lenovo,298990,85,intel,core i9,24,32,32,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,2560,1600,windows,1.0
lenovo,139190,78,intel,core i7,10,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,2560,1600,windows,1.0
lenovo,70190,58,intel,core i5,8,12,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1200,windows,2.0
lenovo,103395,77,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.0,2560,1600,windows,1.0
lenovo,39990,57,amd,ryzen 5,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0
msi,449990,89,intel,core i9,24,32,4,SSD,2048,No secondary storage,0,nvidia,dedicated,False,16.0,2560,1600,windows,2.0
lenovo,90000,65,intel,core i7,10,12,16,SSD,512,No secondary storage,0,intel,integrated,True,14.0,1920,1200,windows,1.0
lenovo,34990,57,intel,core i3,6,8,8,SSD,256,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
msi,79990,70,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,amd,dedicated,False,15.6,1920,1080,windows,1.0
hp,28990,47,intel,celeron,2,2,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1366,768,windows,1.0
acer,49990,67,intel,core i7,4,8,16,SSD,1024,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0
acer,61700,65,intel,core i5,10,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
lenovo,32990,57,amd,ryzen 3,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0
lenovo,49990,67,intel,core i5,4,8,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
asus,86689,73,intel,core i9,14,20,16,SSD,1024,No secondary storage,0,intel,integrated,False,16.0,1920,1200,windows,1.0
acer,25490,38,intel,celeron,2,2,8,SSD,128,No secondary storage,0,intel,integrated,False,14.0,1280,1024,chrome,1.0
dell,68028,53,intel,core i5,4,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
hp,89999,70,intel,core i5,4,8,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0
asus,69437,58,amd,ryzen 5,6,12,16,SSD,1024,No secondary storage,0,amd,integrated,True,14.0,1920,1200,windows,1.0
asus,73990,62,amd,ryzen 7,8,16,16,SSD,1024,No secondary storage,0,amd,integrated,True,14.0,1920,1200,windows,1.0
lenovo,39990,58,amd,ryzen 5,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0
lenovo,63712,60,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
lenovo,49990,62,amd,ryzen 5,4,8,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0
lenovo,32990,51,intel,core i3,6,8,8,SSD,256,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
dell,56340,57,intel,core i5,4,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
lenovo,30190,46,amd,other,2,2,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1366,768,windows,1.0
dell,56880,57,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
dell,56990,56,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
acer,39990,58,intel,core i3,6,8,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
lenovo,29990,51,amd,ryzen 3,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,14.0,1920,1080,windows,1.0
lenovo,46990,63,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0
